昆明市	530100
曲靖市	530300
玉溪市	530400
保山市	530500
昭通市	530600
丽江市	530700
普洱市	530800
临沧市	530900
楚雄州	532300
红河州	532500
文山州	532600
西双版纳州	532800
大理州	532900
德宏州	533100
怒江州	533300
迪庆州	533400
曲靖市	师宗县	丹凤镇	530323101
曲靖市	师宗县	雄壁镇	530323102
曲靖市	师宗县	葵山镇	530323103
曲靖市	师宗县	彩云镇	530323104
曲靖市	师宗县	竹基镇	530323105
曲靖市	师宗县	龙庆乡	530323202
曲靖市	师宗县	五龙乡	530323203
曲靖市	师宗县	高良乡	530323204
曲靖市	罗平县	罗雄镇	530324101
曲靖市	罗平县	板桥镇	530324102
曲靖市	罗平县	马街镇	530324103
曲靖市	罗平县	富乐镇	530324104
曲靖市	罗平县	九龙镇	530324105
曲靖市	罗平县	阿岗镇	530324106
曲靖市	罗平县	大水井乡	530324201
曲靖市	罗平县	鲁布革乡	530324202
曲靖市	罗平县	旧屋基乡	530324203
曲靖市	罗平县	钟山乡	530324204
曲靖市	罗平县	长底乡	530324205
曲靖市	罗平县	老厂乡	530324206
曲靖市	富源县	中安街道	530325001
曲靖市	富源县	胜境街道	530325002
曲靖市	富源县	营上镇	530325102
曲靖市	富源县	黄泥河镇	530325103
曲靖市	富源县	竹园镇	530325104
曲靖市	富源县	后所镇	530325105
曲靖市	富源县	大河镇	530325106
曲靖市	富源县	墨红镇	530325107
曲靖市	富源县	富村镇	530325108
曲靖市	富源县	十八连山镇	530325109
曲靖市	富源县	老厂镇	530325110
曲靖市	富源县	古敢水族乡	530325201
曲靖市	会泽县	金钟镇	530326101
曲靖市	会泽县	娜姑镇	530326102
曲靖市	会泽县	迤车镇	530326103
曲靖市	会泽县	乐业镇	530326104
曲靖市	会泽县	矿山镇	530326105
曲靖市	会泽县	者海镇	530326106
曲靖市	会泽县	大井镇	530326107
曲靖市	会泽县	待补镇	530326108
曲靖市	宣威市	宛水街道	530381001
曲靖市	宣威市	西宁街道	530381002
曲靖市	宣威市	双龙街道	530381003
曲靖市	宣威市	虹桥街道	530381004
曲靖市	宣威市	来宾镇	530381101
曲靖市	宣威市	格宜镇	530381102
曲靖市	宣威市	田坝镇	530381103
曲靖市	宣威市	羊场镇	530381104
玉溪市	红塔区	玉兴路街道	530402001
玉溪市	红塔区	凤凰路街道	530402002
玉溪市	红塔区	玉带路街道	530402003
玉溪市	红塔区	北城镇	530402101
玉溪市	红塔区	春和镇	530402102
玉溪市	红塔区	李棋镇	530402103
玉溪市	红塔区	大营街镇	530402104
玉溪市	红塔区	研和镇	530402105
玉溪市	红塔区	高仓镇	530402106
玉溪市	红塔区	小石桥彝族乡	530402201
玉溪市	红塔区	洛河彝族乡	530402202
玉溪市	江川区	大街镇	530403101
玉溪市	江川区	江城镇	530403102
玉溪市	江川区	前卫镇	530403103
玉溪市	江川区	九溪镇	530403104
玉溪市	江川区	路居镇	530403105
玉溪市	江川区	安化彝族乡	530403201
玉溪市	江川区	雄关乡	530403202
玉溪市	澄江县	凤麓镇	530422101
玉溪市	澄江县	龙街镇	530422102
玉溪市	澄江县	阳宗镇	530422103
玉溪市	澄江县	右所镇	530422104
玉溪市	澄江县	海口镇	530422105
玉溪市	澄江县	九村镇	530422106
玉溪市	通海县	秀山镇	530423101
玉溪市	通海县	杨广镇	530423102
玉溪市	通海县	九街镇	530423103
玉溪市	通海县	河西镇	530423104
玉溪市	通海县	四街镇	530423105
玉溪市	通海县	纳古镇	530423106
玉溪市	通海县	里山乡	530423201
玉溪市	通海县	高大乡	530423202
玉溪市	通海县	兴蒙乡	530423203
玉溪市	华宁县	宁州镇	530424101
玉溪市	华宁县	盘溪镇	530424102
玉溪市	华宁县	华溪镇	530424103
玉溪市	华宁县	青龙镇	530424104
玉溪市	华宁县	通红甸乡	530424201
玉溪市	易门县	龙泉镇	530425101
玉溪市	易门县	六街镇	530425102
玉溪市	易门县	绿汁镇	530425103
玉溪市	易门县	浦贝乡	530425201
玉溪市	易门县	十街乡	530425202
玉溪市	易门县	铜厂乡	530425203
玉溪市	易门县	小街乡	530425204
玉溪市	峨山县	双江镇	530426101
玉溪市	峨山县	小街镇	530426102
玉溪市	峨山县	甸中镇	530426103
玉溪市	峨山县	化念镇	530426104
玉溪市	峨山县	塔甸镇	530426105
玉溪市	峨山县	岔河乡	530426201
玉溪市	峨山县	大龙潭乡	530426202
玉溪市	峨山县	富良棚乡	530426203
玉溪市	新平县	桂山镇	530427101
玉溪市	新平县	扬武镇	530427102
玉溪市	新平县	漠沙镇	530427103
玉溪市	新平县	戛洒镇	530427104
玉溪市	新平县	水塘镇	530427105
玉溪市	新平县	腰街镇	530427106
玉溪市	新平县	平甸乡	530427201
玉溪市	新平县	新化乡	530427202
玉溪市	新平县	建兴乡	530427203
玉溪市	新平县	老厂乡	530427204
玉溪市	新平县	者竜乡	530427205
玉溪市	新平县	平掌乡	530427206
玉溪市	元江县	澧江镇	530428101
玉溪市	元江县	因远镇	530428102
玉溪市	元江县	青龙厂镇	530428103
玉溪市	元江县	东峨镇	530428104
玉溪市	元江县	羊岔街乡	530428201
玉溪市	元江县	羊街乡	530428202
玉溪市	元江县	那诺乡	530428203
玉溪市	元江县	洼垤乡	530428204
玉溪市	元江县	咪哩乡	530428205
玉溪市	元江县	龙潭乡	530428206
保山市	隆阳区	兰城街道	530502001
保山市	隆阳区	永昌街道	530502002
保山市	隆阳区	板桥镇	530502102
保山市	隆阳区	河图镇	530502102
保山市	隆阳区	汉庄镇	530502103
保山市	隆阳区	蒲缥镇	530502104
保山市	隆阳区	瓦窑镇	530502105
保山市	隆阳区	潞江镇	530502106
保山市	施甸县	甸阳镇	530521101
保山市	施甸县	由旺镇	530521102
保山市	施甸县	姚关镇	530521103
保山市	施甸县	仁和镇	530521104
保山市	施甸县	太平镇	530521105
保山市	施甸县	万兴乡	530521201
保山市	施甸县	摆榔彝族布朗族乡	530521202
保山市	施甸县	酒房乡	530521203
保山市	施甸县	旧城乡	530521204
保山市	施甸县	木老元布朗族彝族乡	530521205
保山市	施甸县	老麦乡	530521206
保山市	施甸县	何元乡	530521207
保山市	施甸县	水长乡	530521208
保山市	龙陵县	龙山镇	530523101
保山市	龙陵县	镇安镇	530523102
保山市	龙陵县	勐糯镇	530523103
保山市	龙陵县	龙江乡	530523201
保山市	龙陵县	腊勐乡	530523202
保山市	龙陵县	碧寨乡	530523203
保山市	龙陵县	龙新乡	530523204
保山市	龙陵县	象达乡	530523205
保山市	龙陵县	平达乡	530523206
保山市	龙陵县	木城乡	530523207
保山市	昌宁县	田园镇	530524101
保山市	昌宁县	漭水镇	530524102
保山市	昌宁县	柯街镇	530524103
保山市	昌宁县	卡斯镇	530524104
保山市	昌宁县	勐统镇	530524105
保山市	昌宁县	鸡飞镇	530524108
保山市	昌宁县	大田坝镇	530524109
保山市	昌宁县	翁堵镇	530524110
保山市	昌宁县	温泉乡	530524201
保山市	昌宁县	湾甸傣族乡	530524205
保山市	昌宁县	更戛乡	530524206
保山市	昌宁县	珠街彝族乡	530524207
保山市	昌宁县	苟街彝族苗族乡	530524208
保山市	腾冲市	腾越镇	530581101
保山市	腾冲市	固东镇	530581102
保山市	腾冲市	滇滩镇	530581103
保山市	腾冲市	猴桥镇	530581104
保山市	腾冲市	和顺镇	530581105
保山市	腾冲市	界头镇	530581106
保山市	腾冲市	曲石镇	530581107
保山市	腾冲市	明光镇	530581108
昭通市	昭阳区	永乐社区	530602
昭通市	昭阳区	凤凰街道	530602001
昭通市	昭阳区	龙泉街道	530602002
昭通市	昭阳区	太平街道	530602003
昭通市	昭阳区	旧圃镇	530602101
昭通市	昭阳区	永丰镇	530602102
昭通市	昭阳区	北闸镇	530602103
昭通市	昭阳区	布嘎乡	530602201
昭通市	鲁甸县	文屏镇	530621101
昭通市	鲁甸县	水磨镇	530621102
昭通市	鲁甸县	龙头山镇	530621103
昭通市	鲁甸县	桃源乡	530621201
昭通市	鲁甸县	茨院乡	530621202
昭通市	鲁甸县	小寨乡	530621203
昭通市	鲁甸县	江底乡	530621204
昭通市	鲁甸县	火德红乡	530621205
昭通市	鲁甸县	龙树乡	530621206
昭通市	鲁甸县	新街乡	530621207
昭通市	鲁甸县	梭山乡	530621208
昭通市	鲁甸县	乐红乡	530621209
昭通市	巧家县	白鹤滩镇	530622101
昭通市	巧家县	大寨镇	530622102
昭通市	巧家县	小河镇	530622103
昭通市	巧家县	药山镇	530622104
昭通市	巧家县	马树镇	530622105
